Name,Price,Set,Rarity,x1,x2,x3,x4
Arrester's Admonition,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Arrester's Zeal,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Carrion Imp,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Catacomb Crocodile,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Chillbringer,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Civic Stalwart,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Consign to the Pit,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Debtors' Transport,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Get the Point,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Gift of Strength,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Grasping Thrull,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Gravel-Hide Goblin,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Grotesque Demise,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Haazda Officer,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Humongulus,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Mammoth Spider,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Plague Wight,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Prowling Caracal,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Rampaging Rendhorn,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Rubble Slinger,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Senate Courier,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Senate Griffin,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Skitter Eel,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Slimebind,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Sylvan Brushstrider,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Syndicate Messenger,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Tenth District Veteran,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Territorial Boar,0.18,RNA,Common,+0.01,+6.00%,0.00,0.00%
Undercity Scavenger,0.18,RNA,Common,0.00,0.00%,0.00,0.00%
Wrecking Beast,0.18,RNA,Common,0.00,0.00%,-0.01,-5.00%
Axebane Beast,0.17,RNA,Common,+0.01,+6.00%,-0.01,-6.00%
Burn Bright,0.17,RNA,Common,+0.01,+6.00%,-0.01,-6.00%
Concordia Pegasus,0.17,RNA,Common,0.00,0.00%,-0.01,-6.00%
Feral Maaka,0.17,RNA,Common,+0.01,+6.00%,-0.01,-6.00%
Ghor-Clan Wrecker,0.17,RNA,Common,+0.01,+6.00%,0.00,0.00%
Knight of Sorrows,0.17,RNA,Common,+0.01,+6.00%,-0.01,-6.00%
"Kaya, Orzhov Usurper",4.79,RNA,Mythic,0.00,0.00%,+0.38,+9.00%
Dovin's Automaton,2.93,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Blood Crypt,2.89,RNA,Rare,+0.16,+6.00%,+0.33,+13.00%
Hallowed Fountain,2.40,RNA,Rare,+0.17,+8.00%,-1.70,-41.00%
Stomping Ground,2.27,RNA,Rare,-0.08,-3.00%,+0.29,+15.00%
Hydroid Krasis,2.04,RNA,Mythic,+0.29,+17.00%,+0.76,+60.00%
Breeding Pool,1.49,RNA,Rare,0.00,0.00%,+0.11,+8.00%
"Dovin, Architect of Law",1.48,RNA,Mythic,-0.09,-6.00%,-0.09,-6.00%
Elite Arrester,1.39,RNA,Common,0.00,0.00%,0.00,0.00%
Smothering Tithe,1.20,RNA,Rare,+0.07,+6.00%,0.00,0.00%
Charging War Boar,1.12,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Ragefire,1.12,RNA,Common,0.00,0.00%,0.00,0.00%
Godless Shrine,0.94,RNA,Rare,-0.04,-4.00%,-0.12,-11.00%
"Lavinia, Azorius Renegade",0.79,RNA,Rare,+0.01,+1.00%,-0.52,-40.00%
"Domri, City Smasher",0.48,RNA,Mythic,0.00,0.00%,-0.05,-9.00%
Absorb,0.38,RNA,Rare,0.00,0.00%,-0.06,-14.00%
Spawn of Mayhem,0.36,RNA,Mythic,0.00,0.00%,-0.13,-26.00%
Plaza of Harmony,0.31,RNA,Rare,0.00,0.00%,+0.12,+65.00%
Cindervines,0.27,RNA,Rare,+0.02,+8.00%,+0.08,+42.00%
Domri's Nodorog,0.22,RNA,Rare,0.00,0.00%,-0.06,-22.00%
Deputy of Detention,0.21,RNA,Rare,0.00,0.00%,-0.04,-16.00%
Priest of Forgotten Gods,0.17,RNA,Rare,0.00,0.00%,-0.05,-23.00%
The Haunt of Hightower,0.15,RNA,Mythic,0.00,0.00%,+0.01,+7.00%
"Dovin, Grand Arbiter",0.13,RNA,Mythic,0.00,0.00%,0.00,0.00%
Biogenic Ooze,0.12,RNA,Mythic,-0.01,-8.00%,-0.01,-8.00%
"Domri, Chaos Bringer",0.10,RNA,Mythic,0.00,0.00%,+0.02,+24.00%
Guardian Project,0.10,RNA,Rare,0.00,0.00%,+0.02,+25.00%
Ravager Wurm,0.07,RNA,Mythic,+0.01,+17.00%,+0.02,+43.00%
Captive Audience,0.06,RNA,Mythic,-0.03,-33.00%,-0.05,-44.00%
Act of Treason,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Arrester's Admonition,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Burn Bright,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Code of Constraint,0.05,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Consign to the Pit,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Coral Commando,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Dovin's Dismissal,0.05,RNA,Rare,0.00,0.00%,-0.08,-62.00%
Enraged Ceratok,0.05,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Expose to Daylight,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Frenzied Arynx,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Gruul Beastmaster,0.05,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Hackrobat,0.05,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Light Up the Stage,0.05,RNA,Uncommon,-0.06,-55.00%,-0.03,-36.00%
Rakdos Trumpeter,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Rampaging Rendhorn,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Scorchmark,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Senate Griffin,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Spikewheel Acrobat,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Undercity Scavenger,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Undercity's Embrace,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Watchful Giant,0.05,RNA,Common,0.00,0.00%,0.00,0.00%
Axebane Beast,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Azorius Skyguard,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Blade Juggler,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Bladebrand,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Bolrac-Clan Crusher,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Bring to Trial,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Burning-Tree Vandal,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Carnival // Carnage,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Civic Stalwart,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Clear the Stage,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Combine Guildmage,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Concordia Pegasus,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Cult Guildmage,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Deface,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Dovin's Acuity,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Feral Maaka,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Fireblade Artist,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Flames of the Raze-Boar,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Gateway Sneak,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Get the Point,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Ghor-Clan Wrecker,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Gift of Strength,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Haazda Officer,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Humongulus,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Knight of the Last Breath,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Macabre Mockery,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Noxious Groodion,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Prowling Caracal,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Prying Eyes,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Quench,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Rafter Demon,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Rakdos Roustabout,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Rubblebelt Recluse,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Sauroform Hybrid,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Screaming Shield,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Scuttlegator,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Senate Courier,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Sharktocrab,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Sky Tether,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Sphinx of the Guildpact,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Spire Mangler,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Spirit of the Spires,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Summary Judgment,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Swirling Torrent,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Syndicate Messenger,0.04,RNA,Common,0.00,0.00%,0.00,0.00%
Zhur-Taa Goblin,0.04,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Aeromunculus,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Angelic Exaltation,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Applied Biomancy,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Archway Angel,0.03,RNA,Uncommon,0.00,0.00%,-0.01,-26.00%
Arrester's Zeal,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Azorius Knight-Arbiter,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Azorius Locket,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Bankrupt in Blood,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Basilica Bell-Haunt,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Bedevil,0.03,RNA,Rare,+0.01,+50.00%,0.00,0.00%
Biogenic Upgrade,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Bloodmist Infiltrator,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Carrion Imp,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Catacomb Crocodile,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Cavalcade of Calamity,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Chillbringer,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Clamor Shaman,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Clan Guildmage,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Clear the Mind,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Collision // Colossus,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Consecrate // Consume,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Cry of the Carnarium,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Dagger Caster,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Dead Revels,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Debtors' Transport,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Depose // Deploy,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Drill Bit,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Electrodominance,0.03,RNA,Rare,0.00,0.00%,0.00,0.00%
Essence Capture,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Eyes Everywhere,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Faerie Duelist,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Final Payment,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Footlight Fiend,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Forbidding Spirit,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Forest,0.03,RNA,Basic Land,0.00,0.00%,0.00,0.00%
Frilled Mystic,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Galloping Lizrog,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Gate Colossus,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Gatebreaker Ram,0.03,RNA,Uncommon,-0.01,-25.00%,0.00,0.00%
Gates Ablaze,0.03,RNA,Uncommon,-0.01,-25.00%,0.00,0.00%
Gateway Plaza,0.03,RNA,Common,0.00,0.00%,-0.02,-40.00%
Goblin Gathering,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Grasping Thrull,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Gravel-Hide Goblin,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Grotesque Demise,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Growth Spiral,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Gruul Locket,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Gruul Spellbreaker,0.03,RNA,Rare,+0.01,+50.00%,0.00,0.00%
Gutterbones,0.03,RNA,Rare,0.00,0.00%,-0.02,-37.00%
Gyre Engineer,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Hero of Precinct One,0.03,RNA,Rare,0.00,0.00%,+0.01,+42.00%
High Alert,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Ill-Gotten Inheritance,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Impassioned Orator,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Imperious Oligarch,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Incubation // Incongruity,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Island,0.03,RNA,Basic Land,0.00,0.00%,0.00,0.00%
Junktroller,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Justiciar's Portal,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Knight of Sorrows,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Lawmage's Binding,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Mammoth Spider,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Ministrant of Obligation,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Mortify,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Mountain,0.03,RNA,Basic Land,0.00,0.00%,0.00,0.00%
Open the Gates,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Orzhov Enforcer,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Orzhov Locket,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Orzhov Racketeers,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Persistent Petitioners,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Pitiless Pontiff,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Plague Wight,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Plains,0.03,RNA,Basic Land,0.00,0.00%,0.00,0.00%
Prime Speaker Vannifar,0.03,RNA,Mythic,-0.06,-67.00%,0.00,0.00%
Pteramander,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Rakdos Firewheeler,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Rakdos Locket,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Rally to Battle,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Regenesis,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Resolute Watchdog,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Rhythm of the Wild,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Root Snare,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Rubble Reading,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Rubble Slinger,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Rubblebelt Runner,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Rumbling Ruin,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Sage's Row Savant,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Sagittars' Volley,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Saruli Caretaker,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Savage Smash,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Scrabbling Claws,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Senate Guildmage,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Sentinel's Mark,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Shimmer of Possibility,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Silhana Wayfinder,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Simic Locket,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Skatewing Spy,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Skewer the Critics,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Skitter Eel,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Slimebind,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Smelt-Ward Ignus,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Spear Spewer,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Sphinx of New Prahv,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Sphinx's Insight,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Steeple Creeper,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Stony Strength,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Storm Strike,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Sunder Shaman,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Swamp,0.03,RNA,Basic Land,0.00,0.00%,0.00,0.00%
Sylvan Brushstrider,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Syndicate Guildmage,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Tenth District Veteran,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Territorial Boar,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Thirsting Shade,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Thought Collapse,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Tin Street Dodger,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Titanic Brawl,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Tower Defense,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Trollbred Guardian,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Twilight Panther,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Vindictive Vampire,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Vizkopa Vampire,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Wall of Lost Thoughts,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Wilderness Reclamation,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Windstorm Drake,0.03,RNA,Uncommon,0.00,0.00%,0.00,0.00%
Wrecking Beast,0.03,RNA,Common,0.00,0.00%,0.00,0.00%
Amplifire,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Angel of Grace,0.02,RNA,Mythic,-0.01,-33.00%,0.00,0.00%
Awaken the Erstwhile,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Bedeck // Bedazzle,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Benthic Biomancer,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Biomancer's Familiar,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Emergency Powers,0.02,RNA,Mythic,-0.01,-33.00%,-0.01,-33.00%
End-Raze Forerunners,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Ethereal Absolution,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Font of Agonies,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Glass of the Guildpact,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Growth-Chamber Guardian,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Immolation Shaman,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Incubation Druid,0.02,RNA,Rare,-0.01,-33.00%,0.00,0.00%
"Judith, the Scourge Diva",0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Kaya's Wrath,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Lumbering Battlement,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Mass Manipulation,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Mesmerizing Benthid,0.02,RNA,Mythic,0.00,0.00%,-0.01,-33.00%
Mirror March,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Nikya of the Old Ways,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Pestilent Spirit,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Precognitive Perception,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
"Rakdos, the Showstopper",0.02,RNA,Mythic,0.00,0.00%,0.00,0.00%
Rampage of the Clans,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Repudiate // Replicate,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Revival // Revenge,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Rix Maadi Reveler,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Seraph of the Scales,0.02,RNA,Mythic,0.00,0.00%,-0.01,-36.00%
Simic Ascendancy,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Skarrgan Hellkite,0.02,RNA,Mythic,0.00,0.00%,0.00,0.00%
Sphinx of Foresight,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Teysa Karlov,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Theater of Horrors,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Thrash // Threat,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Tithe Taker,0.02,RNA,Rare,0.00,0.00%,-0.01,-38.00%
Tome of the Guildpact,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Unbreakable Formation,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Verity Circle,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
Warrant // Warden,0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
"Zegana, Utopian Speaker",0.02,RNA,Rare,0.00,0.00%,0.00,0.00%
"Tabletop
$ 300","DECLINING CARDS
30▼","PRICE CHANGE
+0.88","RISING CARDS
42▲","MTGO
116 tix","PRICE CHANGE
-3.51","RISING CARDS
11▲","DECLINING CARDS
11▼"
Finale of Devastation,38.67,WAR,Mythic,+0.04,0.00%,-0.16,0.00%
"Liliana, Dreadhorde General",30.00,WAR,Mythic,0.00,0.00%,-0.86,-3.00%
"Teferi, Time Raveler",18.24,WAR,Rare,+0.24,+1.00%,+0.24,+1.00%
"Karn, the Great Creator",12.01,WAR,Rare,+0.07,+1.00%,+0.96,+9.00%
Spark Double,9.49,WAR,Rare,+0.04,0.00%,+0.33,+4.00%
"Nicol Bolas, Dragon-God",9.29,WAR,Mythic,+0.29,+3.00%,+0.55,+6.00%
"Jace, Wielder of Mysteries",7.33,WAR,Rare,+0.03,0.00%,+0.15,+2.00%
God-Eternal Rhonas,7.25,WAR,Mythic,+0.04,+1.00%,+0.01,0.00%
God-Eternal Oketra,7.09,WAR,Mythic,-0.02,0.00%,-0.17,-2.00%
"Ilharg, the Raze-Boar",6.99,WAR,Mythic,-0.01,0.00%,-0.15,-2.00%
Bolas's Citadel,6.89,WAR,Rare,+0.01,0.00%,+0.32,+5.00%
Narset's Reversal,6.17,WAR,Rare,+0.02,0.00%,-0.02,0.00%
Karn's Bastion,5.29,WAR,Rare,+0.04,+1.00%,+0.21,+4.00%
"Nissa, Who Shakes the World",5.00,WAR,Rare,0.00,0.00%,-0.06,-1.00%
God-Eternal Kefnet,4.96,WAR,Mythic,+0.08,+2.00%,+0.06,+1.00%
Finale of Revelation,4.74,WAR,Mythic,-0.01,0.00%,-0.16,-3.00%
God-Eternal Bontu,4.50,WAR,Mythic,-0.02,0.00%,-0.22,-5.00%
"Ugin, the Ineffable",4.19,WAR,Rare,+0.02,0.00%,+0.09,+2.00%
Dovin's Veto,3.91,WAR,Uncommon,+0.01,0.00%,+0.46,+13.00%
Blast Zone,3.07,WAR,Rare,-0.04,-1.00%,-0.11,-3.00%
Finale of Promise,3.00,WAR,Mythic,0.00,0.00%,0.00,0.00%
Niv-Mizzet Reborn,2.57,WAR,Mythic,+0.05,+2.00%,+0.01,0.00%
"Vivien, Champion of the Wilds",2.57,WAR,Rare,-0.02,-1.00%,+0.03,+1.00%
Gideon Blackblade,2.52,WAR,Mythic,+0.02,+1.00%,0.00,0.00%
Finale of Glory,2.42,WAR,Mythic,0.00,0.00%,+0.03,+1.00%
"Roalesk, Apex Hybrid",2.14,WAR,Mythic,+0.02,+1.00%,+0.04,+2.00%
"Ashiok, Dream Render",1.99,WAR,Uncommon,0.00,0.00%,+0.14,+8.00%
Finale of Eternity,1.97,WAR,Mythic,-0.02,-1.00%,-0.02,-1.00%
Dreadhorde Arcanist,1.89,WAR,Rare,0.00,0.00%,-0.06,-3.00%
"Ral, Storm Conduit",1.89,WAR,Rare,+0.01,+1.00%,+0.05,+3.00%
Mayhem Devil,1.87,WAR,Uncommon,+0.01,+1.00%,+0.01,+1.00%
Evolution Sage,1.77,WAR,Uncommon,+0.02,+1.00%,+0.02,+1.00%
"Krenko, Tin Street Kingpin",1.70,WAR,Rare,-0.04,-2.00%,-0.07,-4.00%
"Narset, Parter of Veils",1.49,WAR,Uncommon,0.00,0.00%,0.00,0.00%
"Ajani, the Greathearted",1.48,WAR,Rare,0.00,0.00%,0.00,0.00%
"Domri, Anarch of Bolas",1.48,WAR,Rare,0.00,0.00%,+0.08,+6.00%
"Sorin, Vengeful Bloodlord",1.31,WAR,Rare,+0.01,+1.00%,+0.02,+2.00%
"Feather, the Redeemed",1.21,WAR,Rare,-0.01,-1.00%,+0.05,+4.00%
Parhelion II,1.13,WAR,Rare,+0.03,+3.00%,+0.07,+7.00%
Casualties of War,1.11,WAR,Rare,0.00,0.00%,+0.01,+1.00%
Cruel Celebrant,1.04,WAR,Uncommon,0.00,0.00%,-0.04,-4.00%
